title,slug,variant1,variant2,code
Afghanistan,afghanistan,Afghanistan,Afghan,AFG
Algeria,algeria,Algeria,Algerian,DZA
Australia,australia,Australia,Australia,AUS
China,china,China,Chinese,CHN
Denmark,denmark,Denmark,Denmark,DNK
Germany,germany,Germany,Germany,DEU
Hong Kong,hong kong,Hong Kong,Hong Kong,HKG
India,india,India,Indian,IND
Iran,iran,Iran,Iranian,IRN
Iraq,iraq,Iraq,Iraq,IRQ
Japan,japan,Japan,Japanese,JPN
Lebanon,lebanon,Lebanon,Lebanese,LBN
Libya,libya,Libya,Libyan,LBY
Mexico,mexico,Mexico,Mexican,MEX
North Korea,north korea,North Korea,Kim Jong,PRK
Norway,norway,Norway,Norwegian,NOR
Pakistan,pakistan,Pakistan,Pakistan,PAK
Qatar,qatar,Qatar,Qatar,QAT
Russia,russia,Russia,Putin,RUS
Saudi Arabia,saudi arabia,Saudi Arabia,Saudi Arabia,SAU
South Korea,south korea,South Korea,South Korea,KOR
Sudan,sudan,Sudan,Sudan,SDN
Sweden,sweden,Sweden,Sweden,SWE
Syria,syria,Syria,Syria,SYR
Turkey,turkey,Turkey,Turkey,TUR
UAE,uae,UAE,UAE,ARE
UK,uk,UK,UK,GBR
Ukraine,ukraine,Ukraine,Ukraine,URK
Venezuela,venezuela,Venezuela,Venezuela,VEN
Yemen,yemen,Yemen,Yemen,YEM
